up,us,sp,ps,pu,su,nlw_p10_ecdf_1,nlw_p50_ecdf_1,nlw_p90_ecdf_1,nlw_p25_ecdf_1,nlw_p75_ecdf_1,nlw_share_leq0_1,nlw_p10_pctl_1,nlw_p25_pctl_1,nlw_p50_pctl_1,nlw_p75_pctl_1,nlw_p90_pctl_1,nlw_p10_ecdf_2,nlw_p50_ecdf_2,nlw_p90_ecdf_2,nlw_p25_ecdf_2,nlw_p75_ecdf_2,nlw_share_leq0_2,nlw_p10_pctl_2,nlw_p25_pctl_2,nlw_p50_pctl_2,nlw_p75_pctl_2,nlw_p90_pctl_2,nlw_p10_ecdf_3,nlw_p50_ecdf_3,nlw_p90_ecdf_3,nlw_p25_ecdf_3,nlw_p75_ecdf_3,nlw_share_leq0_3,nlw_p10_pctl_3,nlw_p25_pctl_3,nlw_p50_pctl_3,nlw_p75_pctl_3,nlw_p90_pctl_3,lqw_p10_ecdf_1,lqw_p50_ecdf_1,lqw_p90_ecdf_1,lqw_p25_ecdf_1,lqw_p75_ecdf_1,lqw_share_leq0_1,lqw_p10_pctl_1,lqw_p25_pctl_1,lqw_p50_pctl_1,lqw_p75_pctl_1,lqw_p90_pctl_1,lqw_p10_ecdf_2,lqw_p50_ecdf_2,lqw_p90_ecdf_2,lqw_p25_ecdf_2,lqw_p75_ecdf_2,lqw_share_leq0_2,lqw_p10_pctl_2,lqw_p25_pctl_2,lqw_p50_pctl_2,lqw_p75_pctl_2,lqw_p90_pctl_2,lqw_p10_ecdf_3,lqw_p50_ecdf_3,lqw_p90_ecdf_3,lqw_p25_ecdf_3,lqw_p75_ecdf_3,lqw_share_leq0_3,lqw_p10_pctl_3,lqw_p25_pctl_3,lqw_p50_pctl_3,lqw_p75_pctl_3,lqw_p90_pctl_3,ern_p10_pctl_2,ern_p25_pctl_2,ern_p50_pctl_2,ern_p75_pctl_2,ern_p90_pctl_2,ern_p10_pctl_3,ern_p25_pctl_3,ern_p50_pctl_3,ern_p75_pctl_3,ern_p90_pctl_3,lnern_avg_2,lnern_std_2,lnern_rho_2,lnern_avg_3,lnern_std_3,lnern_rho_3,lnern_avg_2_1,lnern_std_2_1,lnern_avg_3_1,lnern_std_3_1,lnern_avg_2_2,lnern_std_2_2,lnern_avg_3_2,lnern_std_3_2,lnern_avg_2_3,lnern_std_2_3,lnern_avg_3_3,lnern_std_3_3,lnern_avg_2_4,lnern_std_2_4,lnern_avg_3_4,lnern_std_3_4,dlnern_avg_ps,dlnern_p50_ps,dlnern_avg_sp,dlnern_p50_sp,pu_1,pu_2,pu_3,pu_4,su_1,su_2,su_3,su_4
.14966673,.06956014,.011286044,.022143971,.019557331,.0037901283,.080853909,.64181137,.8872996,.24441864,.73650038,.64181137,-23508.898,-6861.0908,0,1994.6554,40154.086,.10599598,.58385766,.90235823,.25190902,.74759883,.58385766,-27478.355,-6748.1772,0,5476.2378,48526.898,.10035731,.5113861,.90468585,.26338488,.75499743,.50508642,-22996.254,-5536.4609,0,12345.703,82946.625,.36299574,.4994233,.89227158,.36299574,.73662454,.36299574,0,0,128.15097,5113.1479,44685.73,.25697467,.51066768,.90256035,.25697467,.74765861,.25697467,0,0,1174.0659,10915.242,56109.051,.22548191,.50695854,.90140653,.25040856,.75385612,.22548191,0,35.85817,2212.0977,18487.076,94020.867,938.48529,1563.0087,2620.8135,4474.0776,7536.0522,632.67761,1266.7612,2526.7466,4800.1919,8801.752,7.8699799,.80966991,.80198658,7.8163748,.96626085,.53948253,6.9296522,.52956206,6.838387,.75668126,7.5557871,.50587147,7.517417,.69572085,8.0977497,.47296795,8.0876293,.7039367,8.8520479,.51490092,8.807518,.73482472,.036793817,.034326553,.11095601,.11211872,.036830425,.02327968,.014483492,.0091182068,.0080383169,.004093342,.0025886022,.0013401305
.13486166,.078814812,.011467282,.02063353,.01968015,.0038963864,.08073619,.61371994,.88245434,.20884444,.72928506,.61371994,-25392.232,-4606.7324,0,1994.6554,54084.535,.096439257,.5663355,.89792264,.24572274,.74287874,.5663355,-24583.879,-6272.7817,0,5701.9106,52227.102,.096670792,.49801412,.89799368,.24767146,.74848539,.49281368,-22257.879,-4546.4668,23.556011,12994.213,89217.398,.31000659,.45836896,.88020784,.31000659,.72415727,.31000659,0,0,313.90839,5783.5757,54084.535,.25960013,.49168313,.89646339,.25960013,.74957973,.25960013,0,0,1390.6475,10794.424,62696.523,.22323164,.49047878,.89862514,.24686992,.75287431,.22323164,0,55.515469,2486.5752,18487.076,98143.727,964.96881,1580.3325,2679.4363,4434.4932,7677.0493,647.58069,1308.4873,2561.4299,4987.4712,9184.3477,7.8782053,.80186731,.80047148,7.844276,.97016299,.53969413,6.9381471,.55870986,6.8008852,.73008996,7.5453067,.49183372,7.4967208,.69248074,8.100749,.47618693,8.0896149,.69917554,8.8747139,.51291251,8.7955647,.74114203,.0050637224,-.018465996,.14319357,.32642269,.033331934,.025443729,.014774127,.0090101147,.007142094,.0047678594,.0026910156,.0019412391
.14036149,.079289272,.011629685,.021209989,.019839322,.0037512083,.10444052,.6760124,.87469774,.27511036,.76472545,.6760124,-31399.486,-9788.0098,0,341.97064,54084.535,.096029095,.57656622,.89677489,.26218003,.75375265,.57656622,-25643.523,-7523.1328,0,4841.9346,54254.625,.10418703,.5115521,.90515006,.25591078,.76259649,.50767255,-23935.865,-4894.0049,0,11237.24,83629.398,.36799031,.52918649,.87471932,.36799031,.77514607,.36799031,0,0,99.032639,3244.0276,55084.094,.24393184,.49964303,.89459395,.24393184,.7508955,.24393184,0,4.2746329,1282.3899,10539.482,62876.621,.23072408,.50555819,.90580177,.2508584,.75916326,.23072408,0,37.677521,2232.0161,17196.178,91966.82,1004.6582,1611.5803,2708.665,4124.4443,6679.3667,648.43713,1277.2316,2510.8574,4614.5698,8519.1348,7.8602309,.75378287,.76718086,7.8022051,.94222224,.50091016,6.9502449,.54433823,6.8255715,.74428278,7.5715895,.50883049,7.4978356,.69415075,8.0814266,.43371332,8.0640602,.69903797,8.7881203,.47856331,8.7723722,.72528988,.022158878,.041816235,.11019626,.20828581,.037614554,.024823898,.011830859,.0087158633,.007406014,.0036140718,.0019121256,.0029148459
.12696944,.07345745,.010912747,.021421818,.018206842,.0042676353,.11203533,.70010847,.90598977,.2668826,.76021475,.70010847,-31399.486,-9411.0742,0,452.13394,28900.809,.10555688,.55824131,.89731777,.25592753,.75662678,.55824131,-27155.797,-6857.7729,0,4871.5083,52472.316,.10664492,.47725704,.89450628,.24331667,.74160099,.47285625,-24635.203,-4305.0542,192.91003,13780.267,92930.258,.38100997,.52883303,.90364283,.38100997,.75592881,.38100997,0,0,99.032639,3718.543,38711.707,.24451065,.50906175,.8982318,.24451065,.75778151,.24451065,0,4.2746329,1174.0659,9788.0098,61519.129,.20938413,.48431027,.89514065,.23323412,.73835754,.20938413,0,110.16267,2542.2449,21114.504,102468.65,1001.2234,1603.8179,2641.4128,4241.479,7018.1558,674.13214,1294.7115,2563.9583,5001.8755,9168.6807,7.8593965,.77043688,.77197444,7.8473177,.96733016,.51325554,6.9599013,.54913533,6.8469009,.71009153,7.5598898,.47653219,7.5097117,.73278308,8.1033773,.47054642,8.0563889,.72749782,8.8322468,.47827515,8.7897415,.74255228,.0090800123,-.094063282,.13054034,.17183495,.031639438,.021996692,.012505296,.0091687506,.0081351558,.0049201441,.0035641959,.0011843236
.13471524,.072345808,.011737804,.021145772,.020476153,.0044277231,.083889626,.67808318,.91652197,.24855542,.77061802,.67808318,-25392.232,-7192.0171,0,343.85654,22579.441,.092036873,.58530796,.90707469,.25346071,.7598021,.58530796,-25023.188,-6771.0454,0,4280.8535,44093.723,.094633073,.49526691,.90222067,.23839846,.74766022,.49144304,-20997.887,-3990.5286,24.263449,12994.213,85687.664,.37400702,.50076318,.91235769,.37400702,.76144451,.37400702,0,0,124.07705,3333.9683,27008.502,.25548354,.513152,.90718675,.25548354,.76493311,.25548354,0,0,1158.8728,9441.1094,50225.344,.22939923,.50628775,.899849,.25248682,.74844551,.22939923,0,33.30928,2220.6187,19410.76,96240.625,944.65436,1550.1947,2611.2148,4209.5957,7174.7124,630.89777,1261.0956,2561.4299,4955.647,9175.1992,7.8485293,.79550052,.78725743,7.82548,.97467422,.52512342,6.9440575,.5309183,6.8138428,.72891492,7.5599518,.5033924,7.4848967,.69934815,8.1023111,.47192019,8.0519257,.7191062,8.8579578,.52576983,8.794528,.72698891,-.043156788,-.068805218,.067290038,.17774963,.032226954,.026159389,.015689313,.0080398507,.0095266886,.0042592366,.0029688729,.0014776383
.13698168,.076267041,.01125283,.021406969,.018148528,.0039932402,.082359917,.65422559,.88079917,.23166911,.72244382,.65422559,-23508.898,-6590.7964,0,2521.6389,60130.137,.10063962,.57400531,.89669353,.24753332,.75493425,.57400531,-26090.66,-6349.0508,0,4852.6899,53324.992,.10748785,.51195985,.9065786,.26591071,.76182353,.50837916,-24712.389,-5676.8081,0,11555.658,78006.305,.37384877,.49358284,.87585473,.37384877,.72743249,.37384877,0,0,222.06187,7716.4014,60130.137,.25609306,.49822959,.89461321,.25609306,.74847728,.25609306,0,0,1284.256,10904.699,62841.891,.23276661,.50769854,.90357441,.25634614,.7573266,.23276661,0,22.725103,2212.0977,17655.158,91966.82,963.7901,1558.6238,2627.9419,4365.4761,7500,642.55133,1283.8425,2561.4299,4944.9976,8954.6826,7.8680377,.79793835,.78999269,7.8315578,.97097427,.54198658,6.9354367,.53844917,6.795486,.73701847,7.555841,.47054568,7.5009975,.68087399,8.1134109,.47148231,8.0680304,.69773,8.8442488,.52756637,8.7828369,.72783267,-.037022397,-.020494461,.19120216,.17774963,.027357537,.022471806,.013474994,.010616275,.0066547557,.004523892,.0025520013,.0031666378
.14189696,.074099183,.011487167,.02205094,.019511264,.0043664011,.13061015,.69499773,.89892346,.26977724,.74942827,.69499773,-42454.066,-9411.0742,0,1093.267,38895.781,.092329778,.55472684,.90197927,.23768583,.7436806,.55472684,-25023.188,-5948.7847,0,5773.1606,48623.949,.10225946,.50800741,.89741558,.25253934,.75082862,.50601321,-23438.23,-4808.3501,0,12747.602,89231.766,.3819997,.48765886,.90125036,.3819997,.7313754,.3819997,0,0,192.81056,4599.2505,39893.105,.24704473,.49182722,.89934784,.24704473,.7405448,.24704473,0,1.9603117,1326.3135,12428.646,59681.953,.23176497,.50316876,.90040833,.25012061,.75389028,.23176497,0,37.960655,2270.8853,18429.33,95890.68,941.47107,1567.5837,2705.3296,4226.3594,7262.0635,628.6059,1250,2506.9553,4778.9004,8652.5488,7.8564391,.79866707,.76614505,7.7979927,.96622711,.5325855,6.9164014,.58388311,6.7783251,.70229703,7.5703697,.51421058,7.4962015,.70855337,8.0885839,.46396467,8.0734577,.70294422,8.8434944,.52361339,8.7635002,.72204202,-.011515837,.010314941,.0059334473,.039542675,.031754278,.025591707,.014712919,.0097213015,.0078470968,.0044243275,.0039157514,.0023869141
.13936111,.07216239,.01154498,.021670856,.019935293,.0043733977,.082295276,.64043641,.86915201,.22948141,.71883446,.64043641,-25104.029,-6287.6621,0,1994.6554,83889.672,.092899576,.57341021,.90038234,.24318674,.75730449,.57341021,-23706.207,-6263.5083,0,4403.5376,49926.191,.099354945,.48819408,.89921302,.24174334,.74035954,.48435929,-22764.646,-4388.252,113.62551,13939.515,88596.906,.34193403,.43797866,.86917418,.34193403,.7417323,.34193403,0,0,257.48486,4599.2505,83889.672,.25942105,.49936867,.90423036,.25942105,.75541693,.25942105,0,0,1272.1332,10355.068,54367.785,.21893673,.49050331,.90029532,.24054641,.74134421,.21893673,0,76.314011,2490.3247,20509.391,95890.68,936.88525,1577.4937,2589.0789,4225.5405,6952.9404,628.21863,1265.3552,2526.7466,4867.9824,8832.5684,7.836751,.77728832,.75433356,7.8137026,.96700203,.54861999,6.8833656,.57399005,6.8142166,.74555892,7.572196,.48790845,7.4866929,.70370007,8.1062403,.48283455,8.0654707,.71170485,8.7963362,.47398081,8.791647,.71095747,-.0087274136,.0029182434,.054562684,.11211872,.035019863,.023197988,.015478953,.012310119,.008527738,.0048137968,.0027902434,.002530948
.12487417,.081765391,.011774941,.02152013,.01975538,.0039396863,.10901489,.68270069,.89909697,.2700111,.76658875,.68270069,-29452.307,-9477.3027,0,343.85654,38895.781,.098118648,.56315869,.89562011,.24765222,.74101639,.56315869,-25543.627,-6415.083,0,6183.4316,56103.496,.097639672,.50181806,.90159321,.24975677,.75572449,.49763498,-22402.791,-4625.731,5.783576,12383.547,86570.297,.37479115,.50494897,.89911866,.37479115,.76936305,.37479115,0,0,124.07705,3215.6682,39920.25,.23170255,.49128661,.89083016,.23170255,.74207634,.23170255,0,12.679861,1321.9521,11308.584,64915.684,.22921436,.49483162,.900693,.25426254,.75639337,.22921436,0,25.108574,2407.98,17680.158,94309.18,938.04187,1557.6743,2574.5017,4154.5747,7526.2129,628.6059,1255.9174,2513.1602,4821.373,8800.4824,7.8464985,.80698109,.7815277,7.8098493,.97048211,.53171605,6.9331341,.54014754,6.7915459,.744021,7.5661106,.48684412,7.5072517,.69033527,8.1200981,.4893164,8.0678186,.72765112,8.9141378,.53818566,8.798234,.72158182,-.064356141,-.040410519,.17913489,.22142124,.034638193,.022139136,.014364009,.0097348802,.0076351506,.0043358663,.0024898099,.0027530263
.13004521,.074944392,.011542972,.022348959,.018532913,.0040178006,.12105335,.7427932,.92510718,.33042479,.80666107,.7427932,-44092.621,-15569.601,-945.03363,67.137527,14785.84,.11100671,.59401059,.90645927,.28295165,.77393812,.59401059,-27611.504,-8477.8799,0,2996.2834,44093.723,.099505045,.50933903,.90425485,.2526181,.75808156,.50426108,-22764.646,-4789.2192,0,11755.24,80764.867,.38242126,.51830113,.92279428,.38242126,.78469539,.38242126,0,0,99.268799,2802.2473,21439.148,.26453266,.52391189,.90626925,.26453266,.77508742,.26453266,0,0,1078.1714,8791.4209,54367.785,.23824722,.50008136,.905442,.26494479,.75287884,.23824722,0,11.770105,2313.4304,18487.076,90372.938,938.48529,1565.7024,2619.2295,4164.0527,6911.2437,643.45544,1284.5624,2554.4631,5009.8926,8844.6475,7.8398461,.78236258,.76962775,7.8335238,.96540231,.54005402,6.9245067,.54497796,6.8351545,.75678867,7.5535641,.48467231,7.5182228,.68810642,8.107892,.47181958,8.0736151,.72852683,8.7975912,.50010508,8.7840986,.67423654,.056115627,.0029182434,.028784554,.064666271,.033130761,.023038479,.014168747,.0094212806,.0075949174,.0041724779,.0029287254,.0013603684
