lfstat,cluster_id,b0,b1,r2,r2_a,N
1,1,6.5599694,,0,0,1860
1,2,6.6666446,,0,0,1685
1,3,6.4728246,,0,0,1187
1,4,7.1136594,,0,0,657
2,1,3.7105367,.55661124,.17405626,.17395623,8259
2,2,3.7156599,.58018124,.20155412,.20150021,14813
2,3,3.2293055,.65535206,.32286519,.32282081,15261
2,4,2.6600163,.73524594,.53483576,.5347836,8924
3,1,3.2676187,.63066423,.27299547,.27294657,14868
3,2,2.8274851,.6904673,.4493635,.4493376,21268
3,3,2.8641014,.7010414,.52693766,.52691919,25639
3,4,2.9448211,.70576364,.63140929,.63138521,15324
